Gas Boiler Output (MWh),Oil Boiler Output (MWh),Gas Motor Output (MWh),Electric Boiler Output (MWh),Total Electricity Production (MWh),Total Electricity Consumption (MWh),Total Production Cost (DKK/MWh),Total Gas Consumption (MWh(gas)),Total Oil Consumption (MWh(oil)),Total CO2 Emissions (kg)
0,0,0,6.14,0,6.14,7204.98,0,0,0
0,0,0,6.3,0,6.3,8171.29,0,0,0
0,0,0,6.17,0,6.17,6494.73,0,0,0
0,0,0,6.1,0,6.1,6419.21,0,0,0
0,0,0,6.09,0,6.09,5159.20,0,0,0
0,0,0,6.09,0,6.09,4977.84,0,0,0
0,0,0,6.03,0,6.03,4732.65,0,0,0
0,0,0,6.08,0,6.08,5004.51,0,0,0
0,0,0,6.18,0,6.18,4962.60,0,0,0
0,0,0,6.26,0,6.26,5018.45,0,0,0
0,0,0,6.39,0,6.39,5220.18,0,0,0
0,0,0,6.96,0,6.96,5730.38,0,0,0
0,0,0,7.09,0,7.09,6155.18,0,0,0
0,0,0,7.34,0,7.34,8960.08,0,0,0
0,0,0,6.84,0,6.84,10326.48,0,0,0
0,0,0,6.94,0,6.94,10793.64,0,0,0
0,0,0,6.86,0,6.86,10362.78,0,0,0
0,0,0,6.73,0,6.73,9021.57,0,0,0
0,0,0,6.46,0,6.46,7103.87,0,0,0
0,0,0,6.21,0,6.21,6001.47,0,0,0
0,0,0,6.26,0,6.26,5905.31,0,0,0
0,0,0,6.34,0,6.34,5980.78,0,0,0
0,0,0,6.66,0,6.66,6332.19,0,0,0
0,0,0,6.71,0,6.71,7839.90,0,0,0
0,0,0,6.81,0,6.81,9874.57,0,0,0
0,0,0,6.47,0,6.47,11006.70,0,0,0
0,0,0,6.26,0,6.26,9941.07,0,0,0
0,0,0,6.2,0,6.2,8980.82,0,0,0
0,0,0,6.22,0,6.22,8132.77,0,0,0
0,0,0,6.15,0,6.15,7677.29,0,0,0
0,0,0,6.19,0,6.19,7227.26,0,0,0
0,0,0,6.15,0,6.15,6520.05,0,0,0
0,0,0,6.33,0,6.33,6555.28,0,0,0
0,0,0,6.32,0,6.32,6537.34,0,0,0
0,0,0,6.38,0,6.38,6597.56,0,0,0
0,0,0,7.02,0,7.02,7269.84,0,0,0
0,0,0,7.21,0,7.21,7982.70,0,0,0
0,0,0,7.4,0,7.4,9531.87,0,0,0
0,0,0,6.92,0,6.92,10654.24,0,0,0
0,0,0,7.06,0,7.06,11237.33,0,0,0
0,0,0,7.02,0,7.02,9794.30,0,0,0
0,0,0,7.12,0,7.12,7688.39,0,0,0
0,0,0,7.08,0,7.08,7692.63,0,0,0
0,0,0,7.08,0,7.08,7228.61,0,0,0
0,0,0,7,0,7,6888.84,0,0,0
0,0,0,6.64,0,6.64,6609.72,0,0,0
0,0,0,7.09,0,7.09,7342.33,0,0,0
0,0,0,7.07,0,7.07,8394.85,0,0,0
0,0,0,7.03,0,7.03,9819.22,0,0,0
0,0,0,6.53,0,6.53,10053.78,0,0,0
0,0,0,6.38,0,6.38,9489.23,0,0,0
0,0,0,6.51,0,6.51,8850.48,0,0,0
0,0,0,6.34,0,6.34,7877.01,0,0,0
0,0,0,6.41,0,6.41,7531.43,0,0,0
0,0,0,6.35,0,6.35,7021.07,0,0,0
