Gas Boiler Output (MWh),Oil Boiler Output (MWh),Gas Motor Output (MWh),Electric Boiler Output (MWh),Total Electricity Production (MWh),Total Electricity Consumption (MWh),Total Production Cost (DKK/MWh),Total Gas Consumption (MWh(gas)),Total Oil Consumption (MWh(oil)),Total CO2 Emissions (kg)
0,0,0,1.56,0,1.56,663.70,0,0,0
0,0,0,1.59,0,1.59,1036.60,0,0,0
0,0,0,1.61,0,1.61,1760.13,0,0,0
0,0,0,1.61,0,1.61,1592.29,0,0,0
0,0,0,1.67,0,1.67,1661.78,0,0,0
0,0,0,1.66,0,1.66,1501.19,0,0,0
0,0,0,1.67,0,1.67,1397.62,0,0,0
0,0,0,1.65,0,1.65,1142.54,0,0,0
0,0,0,1.6,0,1.6,1028.00,0,0,0
0,0,0,1.55,0,1.55,950.43,0,0,0
0,0,0,1.6,0,1.6,992.00,0,0,0
0,0,0,1.68,0,1.68,1199.23,0,0,0
0,0,0,1.71,0,1.71,1396.61,0,0,0
0,0,0,1.78,0,1.78,1563.78,0,0,0
0,0,0,2.04,0,2.04,1924.23,0,0,0
0,0,0,2.02,0,2.02,1418.44,0,0,0
0,0,0,1.8,0,1.8,748.40,0,0,0
0,0,0,1.73,0,1.73,703.99,0,0,0
0,0,0,1.72,0,1.72,723.14,0,0,0
0,0,0,1.62,0,1.62,645.98,0,0,0
0,0,0,1.62,0,1.62,645.98,0,0,0
0,0,0,1.67,0,1.67,669.05,0,0,0
0,0,0,1.61,0,1.61,624.73,0,0,0
0,0,0,1.65,0,1.65,663.27,0,0,0
0,0,0,1.65,0,1.65,771.67,0,0,0
0,0,0,1.67,0,1.67,1531.77,0,0,0
0,0,0,1.68,0,1.68,1732.84,0,0,0
0,0,0,1.62,0,1.62,1756.37,0,0,0
0,0,0,1.61,0,1.61,1646.27,0,0,0
0,0,0,1.7,0,1.7,1585.93,0,0,0
0,0,0,1.71,0,1.71,1380.83,0,0,0
0,0,0,1.75,0,1.75,1352.23,0,0,0
0,0,0,1.66,0,1.66,1135.66,0,0,0
0,0,0,1.64,0,1.64,1110.03,0,0,0
0,0,0,1.7,0,1.7,1275.22,0,0,0
0,0,0,1.78,0,1.78,1415.33,0,0,0
0,0,0,1.8,0,1.8,1629.00,0,0,0
0,0,0,1.78,0,1.78,1610.90,0,0,0
0,0,0,1.82,0,1.82,1507.32,0,0,0
0,0,0,1.9,0,1.9,1307.26,0,0,0
0,0,0,1.86,0,1.86,1204.96,0,0,0
0,0,0,1.88,0,1.88,1171.11,0,0,0
0,0,0,1.83,0,1.83,1104.41,0,0,0
0,0,0,1.76,0,1.76,1010.03,0,0,0
0,0,0,1.63,0,1.63,999.97,0,0,0
0,0,0,1.57,0,1.57,993.42,0,0,0
0,0,0,1.55,0,1.55,979.03,0,0,0
0,0,0,1.54,0,1.54,1202.66,0,0,0
0,0,0,1.56,0,1.56,1426.43,0,0,0
0,0,0,1.56,0,1.56,1718.23,0,0,0
0,0,0,1.59,0,1.59,1748.05,0,0,0
0,0,0,1.57,0,1.57,1537.66,0,0,0
0,0,0,1.55,0,1.55,1184.79,0,0,0
0,0,0,1.62,0,1.62,1064.42,0,0,0
